t_mid,dt_s,energy_bin_j,bytes_bin,flops_bin,flops_bin_v1,prefill_tokens,decode_tokens,n_iters
1784662878.042835,0.2000,59.9838,2.408476e+11,9.647637e+11,9.647637e+11,0,68,17
1784662878.242835,0.2000,59.1261,2.409136e+11,9.652261e+11,9.652261e+11,0,68,17
1784662878.442835,0.2000,59.1362,2.409347e+11,1.845913e+12,1.842089e+12,64,66,17
1784662878.642835,0.2000,57.8837,2.408604e+11,1.191822e+12,1.191103e+12,16,68,17
1784662878.842835,0.2000,58.8020,2.409274e+11,9.653225e+11,9.653225e+11,0,68,17
1784662879.042835,0.2000,59.1113,2.409934e+11,9.657849e+11,9.657849e+11,0,68,17
1784662879.242835,0.2000,59.4636,2.410595e+11,9.662473e+11,9.662473e+11,0,68,17
1784662879.442835,0.2000,59.6270,2.410944e+11,9.524193e+11,9.523508e+11,0,67,17
1784662879.642835,0.2000,59.5235,2.409017e+11,1.319955e+12,1.318657e+12,26,67,17
1784662879.842835,0.2000,59.0936,2.408356e+11,1.135007e+12,1.134367e+12,13,67,17
1784662880.042835,0.2000,49.2577,5.663385e+10,1.332155e+12,1.329715e+12,79,15,4
1784662880.242835,0.2000,26.1704,1.699190e+11,6.803723e+11,6.803723e+11,0,48,12
1784662880.442835,0.2000,56.4116,2.407751e+11,9.642563e+11,9.642563e+11,0,68,17
1784662880.642835,0.2000,60.0753,2.407063e+11,1.204748e+12,1.204164e+12,18,67,17
1784662880.842835,0.2000,59.6311,2.407081e+11,1.190533e+12,1.190037e+12,17,67,17
1784662881.042835,0.2000,60.3153,2.548670e+11,1.020478e+12,1.020478e+12,0,72,18
1784662881.242836,0.2000,60.4095,2.407760e+11,9.642628e+11,9.642628e+11,0,68,17
1784662881.442835,0.2000,58.9076,2.408420e+11,9.647252e+11,9.647252e+11,0,68,17
1784662881.642836,0.2000,59.5226,2.408164e+11,1.248247e+12,1.247357e+12,21,67,17
1784662881.842835,0.2000,59.2830,2.408476e+11,9.647637e+11,9.647637e+11,0,68,17
1784662882.042836,0.2000,59.1234,2.409136e+11,9.652261e+11,9.652261e+11,0,68,17
1784662882.242836,0.2000,59.1718,2.409751e+11,9.657292e+11,9.656564e+11,0,68,17
1784662882.442836,0.2000,59.5145,2.409962e+11,1.434463e+12,1.432443e+12,34,67,17
