t,energy_mj,p_inst_w,p_avg_w,sm_mhz,mem_mhz,temp_c,reasons,on
1790294567.3264997,27263039609.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.3365066,27263039609.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.3465002,27263039609.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.3565083,27263039609.0,101.85000000000001,101.684,1530,7601,43,4,0
1790294567.3664992,27263039609.0,101.85000000000001,101.684,1725,7601,43,4,0
1790294567.3765066,27263039609.0,101.85000000000001,101.684,1725,7601,43,4,0
1790294567.3865008,27263039609.0,60.068,97.89,1725,7601,43,4,0
1790294567.396511,27263039609.0,60.068,97.89,1725,7601,43,4,0
1790294567.4065,27263040930.0,60.068,97.89,1725,7601,43,4,0
1790294567.416508,27263040930.0,60.068,97.89,1725,7601,43,4,0
1790294567.4264998,27263040930.0,60.068,97.89,1725,7601,43,4,0
1790294567.4365077,27263040930.0,60.068,97.89,1725,7601,43,4,0
1790294567.4465055,27263040930.0,60.068,97.89,1725,7601,43,4,0
1790294567.456508,27263040930.0,60.068,97.89,1725,7601,43,4,0
1790294567.4664998,27263040930.0,60.068,97.89,1800,7601,43,4,0
1790294567.476506,27263040930.0,60.068,97.89,1800,7601,43,0,0
1790294567.4905212,27263040930.0,69.821,98.446,1800,7601,43,0,0
1790294567.5068355,27263043434.0,69.821,98.446,1800,7601,43,0,0
1790294567.5247893,27263043434.0,69.821,98.446,1800,7601,43,4,0
1790294567.5348616,27263043434.0,69.821,98.446,1800,7601,43,4,0
1790294567.5448515,27263043434.0,69.821,98.446,1800,7601,43,4,0
1790294567.5548604,27263043434.0,69.821,98.446,1800,7601,43,0,0
1790294567.5689712,27263043434.0,69.821,98.446,1800,7601,43,0,0
1790294567.586999,27263043434.0,69.821,98.446,1800,7601,43,0,0
1790294567.6039548,27263043434.0,69.821,98.446,1800,7601,43,0,0
1790294567.622073,27263045449.0,69.821,98.446,1800,7601,43,0,0
1790294567.6378422,27263045449.0,79.84400000000001,98.063,1800,7601,43,0,0
1790294567.6516535,27263045449.0,79.84400000000001,98.063,1800,7601,43,0,0
1790294567.6670065,27263045449.0,79.84400000000001,98.063,1800,7601,43,0,0
1790294567.6840832,27263045449.0,79.84400000000001,98.063,1800,7601,43,0,0
1790294567.7411067,27263049431.0,79.84400000000001,98.063,1800,7601,45,4,1
1790294567.7511792,27263049431.0,79.84400000000001,98.063,1800,7601,45,4,1
1790294567.7611713,27263049431.0,79.84400000000001,98.063,210,7601,44,4,1
1790294567.773482,27263049431.0,79.84400000000001,98.063,210,7601,44,4,1
1790294567.783706,27263049431.0,107.538,100.345,210,7601,44,4,1
1790294567.7937782,27263049431.0,107.538,100.345,210,7601,44,4,1
1790294567.803771,27263057083.0,107.538,100.345,210,7601,44,4,1
1790294567.8158774,27263057083.0,107.538,100.345,210,7601,44,4,1
1790294567.8258908,27263057083.0,107.538,100.345,210,7601,44,4,1
