gpu,model,task,conc,rate,realized_bw,mbu,jbyte_direct,tok_s,p_avg,idle,weight_bytes_per_bin,run_dir
H200,Qwen2.5-32B-Instruct,sharegpt,,8.0,2727044075602.299,0.5681341824171456,1.7459867663529646e-10,1636.587767375975,592.5616695738355,116.345,518320847747.0356,logs/ragged_ladder/Qwen2.5-32B-Instruct/sharegpt_poisson8
H200,Qwen2.5-3B-Instruct,alpaca,1,,986614178278.759,0.20554462047474145,1.0548944267053662e-10,159.09633508730258,220.43536718413108,116.358,196689999613.73392,logs/ragged_ladder/Qwen2.5-3B-Instruct/alpaca_c1
H200,Qwen2.5-3B-Instruct,alpaca,16,,957176519339.401,0.1994117748623752,1.2709006774929503e-10,2388.3442907901226,238.01183075268818,116.358,187990139658.11966,logs/ragged_ladder/Qwen2.5-3B-Instruct/alpaca_c16
H200,Qwen2.5-3B-Instruct,alpaca,4,,978817542553.1456,0.20392032136523866,1.0930430746306826e-10,619.5894839720607,223.35339797457445,116.358,194888904291.8455,logs/ragged_ladder/Qwen2.5-3B-Instruct/alpaca_c4
H200,Qwen2.5-3B-Instruct,alpaca,64,,945213016958.8691,0.19691937853309774,1.8939754254924198e-10,9045.98105950155,295.37397925133695,116.358,178548425213.6752,logs/ragged_ladder/Qwen2.5-3B-Instruct/alpaca_c64
H200,Qwen2.5-3B-Instruct,alpaca,,8.0,969093608853.0662,0.20189450184438879,1.2236542774391275e-10,1799.756390366525,234.9440414060815,116.358,191286713819.7425,logs/ragged_ladder/Qwen2.5-3B-Instruct/alpaca_poisson8
H200,Qwen2.5-3B-Instruct,sharegpt,1,,993686681742.4082,0.20701805869633505,1.0678368714650018e-10,160.08836038571542,222.47370875944864,116.358,197921513716.81415,logs/ragged_ladder/Qwen2.5-3B-Instruct/sharegpt_c1
H200,Qwen2.5-3B-Instruct,sharegpt,16,,958938174735.5713,0.199778786403244,1.3820054698910325e-10,2347.9356086951457,248.88454404479864,116.358,186227757510.7296,logs/ragged_ladder/Qwen2.5-3B-Instruct/sharegpt_c16
H200,Qwen2.5-3B-Instruct,sharegpt,4,,980130258968.6318,0.2041938039517983,1.1111536943623418e-10,622.3861248596071,225.2695684210526,116.358,194385425764.19214,logs/ragged_ladder/Qwen2.5-3B-Instruct/sharegpt_c4
H200,Qwen2.5-3B-Instruct,sharegpt,64,,934968583467.3558,0.19478512155569913,2.1908508412485637e-10,8482.569657270864,321.2895094137783,116.358,167599282357.4468,logs/ragged_ladder/Qwen2.5-3B-Instruct/sharegpt_c64
H200,Qwen2.5-3B-Instruct,sharegpt,,8.0,973466209814.1399,0.2028054603779458,1.3117847597194788e-10,1802.8248644779112,244.09506271551726,116.358,190333193991.41632,logs/ragged_ladder/Qwen2.5-3B-Instruct/sharegpt_poisson8
H200,Qwen2.5-7B-Instruct,alpaca,1,,2429762890961.1807,0.5062006022835793,1.0536305361753323e-10,171.0212413526274,372.4128148311631,116.407,483818396754.386,logs/ragged_ladder/Qwen2.5-7B-Instruct/alpaca_c1
H200,Qwen2.5-7B-Instruct,alpaca,16,,2307260534099.034,0.4806792779372988,1.2289890497739123e-10,2541.5840927997488,399.9844413347686,116.407,456685860944.206,logs/ragged_ladder/Qwen2.5-7B-Instruct/alpaca_c16
H200,Qwen2.5-7B-Instruct,alpaca,4,,2371690791645.6235,0.4941022482595049,1.0877680325640589e-10,662.0642818296237,374.41361448900386,116.407,472465015879.8283,logs/ragged_ladder/Qwen2.5-7B-Instruct/alpaca_c4
